API_UWI,WellID,StationNumber,CoordinateSource,MeasuredDepth_FT,Inclination_DEG,Azimuth_DEG,Course_FT,TVD_FT,VerticalSection_FT,N_S,E_W,Closure_FT,DogLegSeverity_DEGPer100FT,Latitude,Longitude,GridY_FT,GridX_FT,SubseaElevation_FT
30-025-47452-00,840300005442485,122,ACTUAL,11674.0,9.40,191.34,0,11638,,153.15,509.09,,8.13,32.02092,-103.31564,11627279.36,2162305.69,-8669
30-025-47452-00,840300005442485,123,ACTUAL,11721.0,14.40,192.14,0,11684,,143.67,507.10,,10.64,32.02090,-103.31565,11627269.84,2162303.86,-8715
30-025-47452-00,840300005442485,124,ACTUAL,11769.0,19.00,193.04,0,11730,,130.22,504.08,,9.60,32.02086,-103.31566,11627256.34,2162301.05,-8761
30-025-47452-00,840300005442485,125,ACTUAL,11816.0,24.00,189.14,0,11774,,113.32,500.84,,11.06,32.02081,-103.31567,11627239.38,2162298.07,-8804
30-025-47452-00,840300005442485,126,ACTUAL,11863.0,28.60,184.04,0,11816,,92.64,498.53,,10.90,32.02075,-103.31567,11627218.67,2162296.08,-8847
30-025-47452-00,840300005442485,127,ACTUAL,11910.0,32.80,180.54,0,11857,,68.68,497.61,,9.71,32.02069,-103.31568,11627194.68,2162295.54,-8887
30-025-47452-00,840300005442485,128,ACTUAL,11958.0,37.10,181.64,0,11896,,41.20,497.08,,9.05,32.02061,-103.31568,11627167.19,2162295.43,-8926
30-025-47452-00,840300005442485,129,ACTUAL,12005.0,43.70,179.04,0,11932,,10.76,496.94,,14.49,32.02053,-103.31568,11627136.74,2162295.77,-8962
30-025-47452-00,840300005442485,130,ACTUAL,12052.0,50.10,175.14,0,11964,,-23.48,498.75,,14.90,32.02044,-103.31567,11627102.52,2162298.11,-8994
30-025-47452-00,840300005442485,131,ACTUAL,12099.0,57.90,174.04,0,11991,,-61.31,502.35,,16.70,32.02033,-103.31566,11627064.74,2162302.30,-9022
30-025-47452-00,840300005442485,132,ACTUAL,12144.0,65.00,174.74,0,12013,,-100.62,506.20,,15.84,32.02022,-103.31565,11627025.48,2162306.77,-9043
30-025-47452-00,840300005442485,133,ACTUAL,12193.0,72.50,175.94,0,12031,,-146.10,509.90,,15.48,32.02010,-103.31564,11626980.04,2162311.17,-9061
30-025-47452-00,840300005442485,134,ACTUAL,12241.0,80.10,177.44,0,12042,,-192.63,512.58,,16.12,32.01997,-103.31563,11626933.55,2162314.58,-9072
30-025-47452-00,840300005442485,135,ACTUAL,12288.0,87.50,179.34,0,12047,,-239.30,513.89,,16.25,32.01984,-103.31562,11626886.89,2162316.62,-9078
30-025-47452-00,840300005442485,136,ACTUAL,12335.0,89.40,180.44,0,12048,,-286.28,513.98,,4.67,32.01971,-103.31562,11626839.90,2162317.44,-9079
30-025-47452-00,840300005442485,137,ACTUAL,12430.0,90.30,180.54,0,12049,,-381.27,513.17,,0.95,32.01945,-103.31563,11626744.87,2162318.11,-9079
30-025-47452-00,840300005442485,138,ACTUAL,12524.0,90.20,180.54,0,12048,,-475.27,512.28,,0.11,32.01919,-103.31563,11626650.84,2162318.69,-9079
30-025-47452-00,840300005442485,139,ACTUAL,12618.0,90.10,180.74,0,12048,,-569.26,511.23,,0.24,32.01893,-103.31563,11626556.81,2162319.10,-9078
30-025-47452-00,840300005442485,140,ACTUAL,12712.0,89.60,181.24,0,12048,,-663.25,509.61,,0.75,32.01868,-103.31564,11626462.78,2162318.95,-9079
30-025-47452-00,840300005442485,141,ACTUAL,12806.0,90.80,181.54,0,12048,,-757.22,507.33,,1.32,32.01842,-103.31565,11626368.75,2162318.13,-9078
30-025-47452-00,840300005442485,142,ACTUAL,12900.0,89.50,181.44,0,12048,,-851.18,504.89,,1.39,32.01816,-103.31565,11626274.73,2162317.15,-9078
30-025-47452-00,840300005442485,143,ACTUAL,12994.0,89.50,181.54,0,12049,,-945.15,502.45,,0.11,32.01790,-103.31566,11626180.70,2162316.17,-9079
30-025-47452-00,840300005442485,144,ACTUAL,13089.0,89.80,181.74,0,12049,,-1040.11,499.73,,0.38,32.01764,-103.31567,11626085.68,2162314.93,-9080
30-025-47452-00,840300005442485,145,ACTUAL,13183.0,89.90,181.74,0,12049,,-1134.06,496.88,,0.11,32.01738,-103.31568,11625991.66,2162313.54,-9080
30-025-47452-00,840300005442485,146,ACTUAL,13277.0,87.80,179.94,0,12051,,-1228.03,495.50,,2.94,32.01712,-103.31568,11625897.65,2162313.63,-9082
30-025-47452-00,840300005442485,147,ACTUAL,13372.0,89.20,178.44,0,12054,,-1322.98,496.84,,2.16,32.01686,-103.31568,11625802.70,2162316.46,-9084
30-025-47452-00,840300005442485,148,ACTUAL,13466.0,88.10,177.64,0,12056,,-1416.89,500.06,,1.45,32.01660,-103.31567,11625708.81,2162321.13,-9086
30-025-47452-00,840300005442485,149,ACTUAL,13561.0,90.60,178.14,0,12057,,-1511.82,503.56,,2.68,32.01634,-103.31566,11625613.92,2162326.11,-9087
30-025-47452-00,840300005442485,150,ACTUAL,13655.0,89.90,178.04,0,12057,,-1605.76,506.69,,0.75,32.01608,-103.31565,11625520.00,2162330.71,-9087
30-025-47452-00,840300005442485,151,ACTUAL,13749.0,90.80,179.54,0,12056,,-1699.74,508.68,,1.86,32.01583,-103.31564,11625426.04,2162334.16,-9086
30-025-47452-00,840300005442485,152,ACTUAL,13844.0,90.00,180.04,0,12055,,-1794.73,509.03,,0.99,32.01556,-103.31564,11625331.03,2162335.99,-9086
30-025-47452-00,840300005442485,153,ACTUAL,13938.0,89.30,180.84,0,12056,,-1888.73,508.31,,1.13,32.01531,-103.31564,11625237.00,2162336.74,-9086
30-025-47452-00,840300005442485,154,ACTUAL,14032.0,88.10,180.44,0,12058,,-1982.69,507.26,,1.35,32.01505,-103.31565,11625143.00,2162337.15,-9088
30-025-47452-00,840300005442485,155,ACTUAL,14127.0,91.10,181.04,0,12059,,-2077.67,506.04,,3.22,32.01479,-103.31565,11625047.98,2162337.41,-9089
30-025-47452-00,840300005442485,156,ACTUAL,14221.0,91.10,182.04,0,12057,,-2171.62,503.51,,1.06,32.01453,-103.31566,11624953.97,2162336.35,-9087
30-025-47452-00,840300005442485,157,ACTUAL,14315.0,89.00,181.34,0,12057,,-2265.57,500.74,,2.35,32.01427,-103.31567,11624859.95,2162335.04,-9087
30-025-47452-00,840300005442485,158,ACTUAL,14409.0,90.90,179.54,0,12057,,-2359.56,500.02,,2.78,32.01401,-103.31567,11624765.93,2162335.78,-9087
30-025-47452-00,840300005442485,159,ACTUAL,14503.0,90.60,179.04,0,12056,,-2453.55,501.19,,0.62,32.01375,-103.31567,11624671.94,2162338.41,-9086
30-025-47452-00,840300005442485,160,ACTUAL,14597.0,90.10,178.64,0,12055,,-2547.53,503.09,,0.68,32.01349,-103.31566,11624577.97,2162341.78,-9086
